date,open,max,min,close,volume,turnover
2020/1/2 9:31,3066.34,3070.92,3066.34,3070.58,12804746,14173365248
2020/1/2 9:32,3069.72,3070.91,3069.68,3070.04,4710918,5047311360
2020/1/2 9:33,3069.79,3072.9,3069.79,3072.9,4341372,4808847360
2020/1/2 9:34,3072.48,3073.73,3072.48,3073.31,4133120,4621647872
2020/1/2 9:35,3073.11,3073.58,3071.4,3072.04,3601594,4044107776
2020/1/2 9:36,3070.97,3070.97,3070.22,3070.6,3325678,3665477632
2020/1/2 9:37,3070.6,3074.16,3070.6,3074.12,3592320,3856293888
2020/1/2 9:38,3074.78,3076.03,3074.78,3076.03,3164288,3385831424
2020/1/2 9:39,3076.21,3076.21,3074.78,3075.44,2749952,3103084544
2020/1/2 9:40,3074.63,3076.03,3074.22,3075.97,2750404,3115331584
2020/1/2 9:41,3075.63,3076.39,3075.19,3075.2,2672312,3024072704
2020/1/2 9:42,3075.11,3075.61,3074.59,3074.95,2430128,2711818240
2020/1/2 9:43,3074.27,3074.81,3073.68,3074.33,2457512,2631565312
2020/1/2 9:44,3074.15,3074.83,3073.42,3073.42,2444260,2751586304
2020/1/2 9:45,3073.52,3073.52,3071.08,3071.12,2383364,2612023296
2020/1/2 9:46,3071.14,3071.14,3070.05,3070.48,2276944,2533765120
2020/1/2 9:47,3070.53,3071.24,3070.26,3070.61,2000680,2278543360
2020/1/2 9:48,3071.15,3072.21,3070.69,3072.06,1894124,2217336832
2020/1/2 9:49,3072.32,3072.92,3072.27,3072.36,1769156,2156158976
2020/1/2 9:50,3072.47,3073.08,3072.24,3072.73,1719920,1976213504
2020/1/2 9:51,3072.7,3074.18,3072.7,3074.15,1777832,2088075264
2020/1/2 9:52,3074.21,3074.71,3073.8,3074.49,1793400,2195660800
2020/1/2 9:53,3074.85,3076.24,3074.6,3075.94,2160872,2408718336
2020/1/2 9:54,3076.01,3078.49,3075.89,3078.49,2049160,2348646400
2020/1/2 9:55,3078.87,3081.87,3078.87,3081.87,2581616,2863226880
2020/1/2 9:56,3081.97,3082.06,3080.62,3080.62,2373448,2703785984
2020/1/2 9:57,3079.91,3081.55,3079.91,3080.43,1935040,2174558208
2020/1/2 9:58,3080.53,3081.82,3080.26,3081.29,1895432,2154455040
2020/1/2 9:59,3080.94,3081.61,3080.73,3081.07,1752512,1972289536
2020/1/2 10:00,3081.96,3084.44,3081.69,3084.44,1940264,2127421440
2020/1/2 10:01,3083.9,3085.1,3083.9,3084.98,2334184,2446704640
2020/1/2 10:02,3084.63,3085.5,3084.05,3084.17,2091704,2387075072
2020/1/2 10:03,3084.38,3084.77,3084.03,3084.36,1652280,1956913152
2020/1/2 10:04,3084.92,3087.71,3084.71,3087.05,1937432,2251268096
2020/1/2 10:05,3086.96,3087.77,3086.96,3087.6,2070768,2353381376
2020/1/2 10:06,3088.24,3089.15,3088.24,3088.67,2011960,2146680832
2020/1/2 10:07,3088.01,3088.84,3088.01,3088.84,1866392,1950531584
2020/1/2 10:08,3088.43,3089.16,3088.43,3089.04,1641680,1787764736
2020/1/2 10:09,3088.99,3089,3087.3,3087.56,1564624,1746190336
2020/1/2 10:10,3086.78,3087.27,3086.01,3086.01,1510256,1682759680
2020/1/2 10:11,3086.28,3087.95,3086,3087.19,1580320,1794285568
2020/1/2 10:12,3087.93,3088.06,3087.26,3087.4,1298480,1527791616
2020/1/2 10:13,3088.02,3088.28,3087.13,3088.07,1276816,1391886336
2020/1/2 10:14,3087.81,3089.04,3087.63,3088.4,1308616,1446248448
2020/1/2 10:15,3088.56,3089.1,3088.12,3088.44,1229488,1448009728
2020/1/2 10:16,3088.25,3088.76,3087.8,3088.05,1290984,1480163328
2020/1/2 10:17,3087.06,3088.8,3087.06,3088.18,1273968,1535909888
2020/1/2 10:18,3088.52,3088.95,3087.77,3087.78,1153864,1382686720
2020/1/2 10:19,3088.13,3088.13,3087.31,3087.75,1250744,1416667136
2020/1/2 10:20,3087.34,3087.38,3086.33,3086.33,1203232,1433436160
2020/1/2 10:21,3086.38,3086.75,3085.46,3085.46,1327728,1485832192
2020/1/2 10:22,3086.01,3087.06,3085.81,3086.73,1181344,1435779072
2020/1/2 10:23,3087.72,3087.99,3086.91,3087.55,1221952,1369636864
2020/1/2 10:24,3088.11,3088.15,3087.53,3087.86,1167512,1306230784
2020/1/2 10:25,3089.34,3089.34,3087.82,3089.1,1169312,1343979520
2020/1/2 10:26,3089.76,3090.38,3089.34,3090.38,1217080,1472528384
2020/1/2 10:27,3090.67,3091.74,3090.38,3091.74,1298304,1450655744
2020/1/2 10:28,3091.67,3092.94,3091.67,3092.94,1330768,1525989376
2020/1/2 10:29,3093.04,3093.87,3092.8,3093.56,1444408,1611071488
2020/1/2 10:30,3093.89,3093.93,3092.42,3092.42,1199656,1405698048
2020/1/2 10:31,3092.43,3092.98,3092.43,3092.69,1282280,1333149696
2020/1/2 10:32,3092.7,3092.93,3092.37,3092.73,1110784,1322418176
2020/1/2 10:33,3092.31,3093.02,3092.23,3092.63,1093912,1304281088
2020/1/2 10:34,3092.76,3092.85,3092.08,3092.08,1041200,1277083648
2020/1/2 10:35,3092.2,3092.61,3092.02,3092.42,993488,1166491648
2020/1/2 10:36,3092.95,3095.03,3092.95,3094.73,1405152,1597636608
2020/1/2 10:37,3094.76,3095.29,3094.51,3094.92,1224624,1387593728
2020/1/2 10:38,3095.08,3095.36,3094.28,3094.52,1133408,1277083648
2020/1/2 10:39,3094.67,3095.55,3094.15,3094.18,1110592,1223868416
2020/1/2 10:40,3095.12,3095.31,3094.51,3095.31,1219088,1276035072
2020/1/2 10:41,3095.23,3096.23,3095.12,3096.18,1379408,1388740608
2020/1/2 10:42,3096.22,3097.14,3095.87,3097.14,1508352,1460928512
2020/1/2 10:43,3097.99,3097.99,3096.51,3096.54,1395760,1438105600
2020/1/2 10:44,3096.9,3097.85,3096.49,3097.2,1211824,1240121344
2020/1/2 10:45,3097.16,3097.87,3096.92,3097.24,1169664,1267974144
2020/1/2 10:46,3097.09,3098.1,3097.09,3097.74,1155616,1306984448
2020/1/2 10:47,3097.7,3097.7,3094.53,3094.53,1503008,1669152768
2020/1/2 10:48,3094.08,3094.14,3092.26,3092.26,1329536,1436172288
2020/1/2 10:49,3092.09,3092.31,3090.98,3091.02,1261872,1294417920
2020/1/2 10:50,3090.71,3090.96,3088.99,3088.99,1356080,1388756992
2020/1/2 10:51,3088.96,3089.46,3088.66,3088.94,1209344,1288683520
2020/1/2 10:52,3089.17,3091.58,3089.17,3090.52,1115664,1299054592
2020/1/2 10:53,3090.5,3091.36,3090.47,3090.57,985568,1146945536
2020/1/2 10:54,3090.59,3090.86,3089.95,3090.25,851664,957890560
